Date,Open,High,Low,Close,Volume
2011-01-12,10707359545.003143,10707359545.003143,10158060339.200001,10158060339.200001,0
2011-01-13,10181940747.131413,10325236124.472736,10014762957.861376,10102331801.600000,0
2011-01-14,10046609319.045464,10054570125.513981,9330131302.262964,9346052915.200001,0
2011-01-18,9425661312.415632,9584878337.872231,9322169928.849604,9433622118.400000,0
2011-01-19,9672448119.078447,10150100101.692013,9608760765.370983,10070491136.000000,0
2011-01-20,10309316854.356367,10810851241.668093,10253590308.116604,10420769041.066668,0
2011-01-21,10150098044.417761,10659593147.733334,10102332312.376255,10659593147.733334,0
2011-01-24,10508337085.770130,10516298796.700428,9823703313.066668,9823703313.066668,0
2011-01-25,9990878558.638548,10277470188.066319,9871466511.921471,10078448298.666666,0
2011-01-26,9935158818.027279,10102336688.162281,9720215195.161230,9799824179.200001,0
2011-01-27,9624683327.566395,9624683327.566395,9178874566.863426,9234600209.066668,0
2011-01-28,9154990955.740191,10189902850.803808,9091303610.038095,9998841719.466667,0
2011-01-31,9982922338.667110,10261553292.899416,9712253096.973413,9879431850.666666,0
2011-02-01,9584878422.781595,9584878422.781595,8995775151.642727,9139070566.400000,0
2011-02-02,9218676988.379738,9306246745.187744,8852478163.406128,9003734357.333334,0
2011-02-03,8979850673.116739,9226637418.473795,8924125042.899563,8971889868.799999,0
2011-02-04,8916166584.851955,8932088197.675171,8414632157.843451,8430553770.666667,0
2011-02-07,8342983269.016381,8613652445.631578,8223570290.419190,8518121881.600000,0
2011-02-08,8534043667.826938,8741026409.881693,8478318032.687891,8549965277.866667,0
2011-02-09,8661420144.907551,8796754778.061142,8542007126.740331,8709184989.866667,0
2011-02-10,8987810132.796450,9059457353.707769,8597728101.639414,8629571310.933332,0
2011-02-11,8661419345.491711,8812675579.671305,8319101937.571013,8422593331.200000,0
2011-02-14,8342984045.447500,8390748879.023911,8040470715.489272,8231531861.333333,0
2011-02-15,8247451999.226317,8557925173.549441,8247451999.226317,8470355421.866667,0
2011-02-16,8311139552.015795,8366866094.508279,8120079320.338125,8199687372.800000,0
2011-02-17,8295217627.424910,8295217627.424910,7785722487.884269,7841449028.266666,0
2011-02-18,7793683102.394287,8000665837.438580,7777761492.893821,7905135274.666667,0
2011-02-22,8279296226.660935,8892282751.735819,8263374616.369271,8828595404.799999,0
2011-02-23,8860439973.452089,9680408379.019339,8764909401.164204,9322169412.266666,0
2011-02-24,9196387687.404356,9400185752.499189,8801529389.167706,8858847368.533333,0
2011-02-25,8597730306.408672,8597730306.408672,8166250905.599999,8166250905.600000,0
2011-02-28,8014995564.983274,8685300073.435087,8014995564.983274,8440105642.666667,0
2011-03-01,8366865461.005113,8948007823.051872,8277703362.075779,8928901529.600000,0
